"","Number","Player","Position","Height","Weight","Birth Date","Country","Experience","College","Team"
"1",24,"Kent Bazemore","SF",1.98,91.17,1989-07-01,"US",3,"Old Dominion University","CHO"
"2",10,"Tim Hardaway","SG",2.01,92.99,1992-03-16,"US",2,"University of Michigan","CHO"
"3",12,"Kirk Hinrich","PG",1.95,86.18,1981-01-02,"US",12,"University of Kansas","CHO"
"4",7,"Justin Holiday","SG",2.01,83.91,1989-04-05,"US",2,"University of Washington","CHO"
"5",15,"Al Horford","C",1.86,111.13,1986-06-03,"DO",8,"University of Florida","CHO"
"6",43,"Kris Humphries","PF",2.1,106.59,1985-02-06,"US",11,"University of Minnesota","CHO"
"7",26,"Kyle Korver","SG",2.04,96.16,1981-03-17,"US",12,"Creighton University","CHO"
"8",8,"Shelvin Mack","PG",1.92,92.08,1990-04-22,"US",4,"Butler University","CHO"
"9",4,"Paul Millsap","PF",2.07,111.58,1985-02-10,"US",9,"Louisiana Tech University","CHO"
"10",31,"Mike Muscala","C",1.86,108.86,1991-07-01,"US",2,"Bucknell University","CHO"
"11",13,"Lamar Patterson","SG",1.98,102.06,1991-08-12,"US",0,"University of Pittsburgh","CHO"
"12",17,"Dennis Schroder","PG",1.86,78.02,1993-09-15,"DE",2,NA,"CHO"
"13",32,"Mike Scott","PF",2.07,107.5,1988-07-16,"US",3,"University of Virginia","CHO"
"14",25,"Thabo Sefolosha","SF",2.04,99.79,1984-05-02,"CH",9,NA,"CHO"
"15",11,"Tiago Splitter","C",1.86,111.13,1985-01-01,"BR",5,NA,"CHO"
"16",22,"Walter Tavares","C",2.23,117.93,1992-03-22,"CV",0,NA,"CHO"
"17",0,"Jeff Teague","PG",1.89,84.37,1988-06-10,"US",6,"Wake Forest University","CHO"
