"","Number","Player","Position","Height","Weight","Birth Date","Country","Experience","College","Team"
"1",9,"Andrea Bargnani","C",2.13,111.13,1985-10-26,"IT",9,NA,"CHO"
"2",44,"Bojan Bogdanovic","SF",2.07,97.98,1989-04-18,"BA",1,NA,"CHO"
"3",22,"Markel Brown","SG",1.92,86.18,1992-01-29,"US",1,"Oklahoma State University","CHO"
"4",21,"Wayne Ellington","SG",1.95,90.72,1987-10-29,"US",6,"University of North Carolina","CHO"
"5",24,"Rondae Hollis-Jefferson","SF",2.04,99.79,1995-01-03,"US",0,"University of Arizona","CHO"
"6",2,"Jarrett Jack","PG",1.92,90.72,1983-10-28,"US",10,"Georgia Institute of Technology","CHO"
"7",7,"Joe Johnson","SF",2.04,108.86,1981-06-29,"US",14,"University of Arkansas","CHO"
"8",10,"Sergey Karasev","SF",2.04,94.35,1993-10-26,"RU",2,NA,"CHO"
"9",6,"Sean Kilpatrick","SG",1.95,95.25,1990-01-06,"US",1,"University of Cincinnati","CHO"
"10",0,"Shane Larkin","PG",1.56,79.38,1992-10-02,"US",2,"University of Miami","CHO"
"11",11,"Brook Lopez","C",2.13,124.74,1988-04-01,"US",7,"Stanford University","CHO"
"12",1,"Chris McCullough","PF",1.86,90.72,1995-02-05,"US",0,"Syracuse University","CHO"
"13",33,"Willie Reed","PF",1.86,99.79,1990-05-16,"US",0,"Saint Louis University","CHO"
"14",41,"Thomas Robinson","PF",1.86,107.5,1991-03-17,"US",3,"University of Kansas","CHO"
"15",14,"Henry Sims","C",1.86,112.49,1990-03-27,"US",3,"Georgetown University","CHO"
"16",15,"Donald Sloan","PG",1.92,92.99,1988-01-15,"US",4,"Texas A&M University","CHO"
"17",30,"Thaddeus Young","PF",2.07,100.24,1988-06-21,"US",8,"Georgia Institute of Technology","CHO"
