"","Number","Player","Position","Height","Weight","Birth Date","Country","Experience","College","Team"
"1",5,"Nicolas Batum","SF",2.07,90.72,1988-12-14,"FR",7,NA,"CHO"
"2",30,"Troy Daniels","SG",1.95,92.99,1991-07-15,"US",2,"Virginia Commonwealth University","CHO"
"3",12,"Jorge Gutierrez","PG",1.92,86.64,1988-12-27,"MX",2,"University of California","CHO"
"4",19,"P.J. Hairston","SF",2.01,104.33,1992-12-24,"US",1,"University of North Carolina","CHO"
"5",50,"Tyler Hansbrough","PF",2.1,113.4,1985-11-03,"US",6,"University of North Carolina","CHO"
"6",9,"Aaron Harrison","SG",2.01,95.25,1994-10-28,"US",0,"University of Kentucky","CHO"
"7",0,"Spencer Hawes","PF",2.16,111.13,1988-04-28,"US",8,"University of Washington","CHO"
"8",25,"Al Jefferson","C",1.86,131.09,1985-01-04,"US",11,NA,"CHO"
"9",44,"Frank Kaminsky","C",2.13,109.77,1993-04-04,"US",0,"University of Wisconsin","CHO"
"10",14,"Michael Kidd-Gilchrist","SF",2.04,105.23,1993-09-26,"US",3,"University of Kentucky","CHO"
"11",3,"Jeremy Lamb","SG",1.98,83.91,1992-05-30,"US",3,"University of Connecticut","CHO"
"12",1,"Courtney Lee","SG",1.98,90.72,1985-10-03,"US",7,"Western Kentucky University","CHO"
"13",7,"Jeremy Lin","SG",1.92,90.72,1988-08-23,"US",5,"Harvard University","CHO"
"14",22,"Brian Roberts","PG",1.86,78.47,1985-12-03,"US",3,"University of Dayton","CHO"
"15",15,"Kemba Walker","PG",1.86,78.02,1990-05-08,"US",4,"University of Connecticut","CHO"
"16",2,"Marvin Williams","PF",2.1,107.5,1986-06-19,"US",10,"University of North Carolina","CHO"
"17",40,"Cody Zeller","C",2.13,108.86,1992-10-05,"US",2,"Indiana University","CHO"
