"Number","Player","Position","Height","Weight","Birth Date","Country","Experience","College","Team"
0,"Darrell Arthur","PF",2.1,106.59,1988-03-25,"US",6,"University of Kansas","CHO"
12,"D.J. Augustin","PG",1.83,83.01,1987-11-10,"US",7,"University of Texas at Austin","CHO"
5,"Will Barton","SG",2.01,79.38,1991-01-06,"US",3,"University of Memphis","CHO"
35,"Kenneth Faried","PF",2.07,103.42,1989-11-19,"US",4,"Morehead State University","CHO"
4,"Randy Foye","SG",1.95,96.62,1983-09-24,"US",9,"Villanova University","CHO"
8,"Danilo Gallinari","SF",1.86,102.06,1988-08-08,"IT",6,NA,"CHO"
11,"Erick Green","PG",1.95,83.91,1991-05-09,"US",1,"Virginia Polytechnic Institute and State University","CHO"
14,"Gary Harris","SG",1.95,95.25,1994-09-14,"US",1,"Michigan State University","CHO"
7,"J.J. Hickson","C",2.1,109.77,1988-09-04,"US",7,"North Carolina State University","CHO"
15,"Nikola Jokic","C",1.86,113.4,1995-02-19,"RS",0,NA,"CHO"
6,"Sean Kilpatrick","SG",1.95,95.25,1990-01-06,"US",1,"University of Cincinnati","CHO"
77,"Joffrey Lauvergne","C",1.86,99.79,1991-09-30,"FR",1,NA,"CHO"
3,"Mike Miller","SF",2.07,98.88,1980-02-19,"US",15,"University of Florida","CHO"
0,"Emmanuel Mudiay","PG",1.98,90.72,1996-03-05,"CD",0,NA,"CHO"
1,"Jameer Nelson","PG",1.83,86.18,1982-02-09,"US",11,"Saint Joseph's University","CHO"
23,"Jusuf Nurkic","C",2.13,127.01,1994-08-23,"BA",1,NA,"CHO"
16,"Kostas Papanikolaou","SF",2.07,102.06,1990-07-31,"GR",1,NA,"CHO"
9,"JaKarr Sampson","SF",2.1,97.07,1993-03-20,"US",1,"St. John's University","CHO"
6,"Axel Toupane","SF",2.04,89.36,1992-07-23,"FR",0,NA,"CHO"
