"","Number","Player","Position","Height","Weight","Birth Date","Country","Experience","College","Team"
"1",50,"Joel Anthony","C",2.1,111.13,1982-08-09,"CA",8,"University of Nevada, Las Vegas","CHO"
"2",12,"Aron Baynes","C",1.86,117.93,1986-12-09,"NZ",3,"Washington State University","CHO"
"3",22,"Steve Blake","PG",1.92,78.02,1980-02-26,"US",12,"University of Maryland","CHO"
"4",25,"Reggie Bullock","SF",2.04,92.99,1991-03-16,"US",2,"University of North Carolina","CHO"
"5",5,"Kentavious Caldwell-Pope","SG",1.98,92.99,1993-02-18,"US",2,"University of Georgia","CHO"
"6",8,"Spencer Dinwiddie","PG",2.01,90.72,1993-04-06,"US",1,"University of Colorado","CHO"
"7",0,"Andre Drummond","C",1.86,126.55,1993-08-10,"US",3,"University of Connecticut","CHO"
"8",32,"Justin Harper","PF",1.86,102.06,1989-08-30,"US",1,"University of Richmond","CHO"
"9",34,"Tobias Harris","PF",2.1,106.59,1992-07-15,"US",4,"University of Tennessee","CHO"
"10",6,"Darrun Hilliard","SG",2.01,92.99,1993-04-13,"US",0,"Villanova University","CHO"
"11",23,"Ersan Ilyasova","PF",1.86,106.59,1987-05-15,"TR",7,NA,"CHO"
"12",1,"Reggie Jackson","PG",1.92,94.35,1990-04-16,"IT",4,"Boston College","CHO"
"13",7,"Brandon Jennings","PG",1.86,77.11,1989-09-23,"US",6,NA,"CHO"
"14",3,"Stanley Johnson","SF",2.04,111.13,1996-05-29,"US",0,"University of Arizona","CHO"
"15",20,"Jodie Meeks","SG",1.95,95.25,1987-08-21,"US",6,"University of Kentucky","CHO"
"16",13,"Marcus Morris","SF",2.1,106.59,1989-09-02,"US",4,"University of Kansas","CHO"
"17",43,"Anthony Tolliver","PF",2.07,108.86,1985-06-01,"US",7,"Creighton University","CHO"
