"Number","Player","Position","Height","Weight","Birth Date","Country","Experience","College"
45,"Cole Aldrich","C",1.86,113.4,1988-10-31,"US",5,"University of Kansas"
19,"Jeff Ayres","C",2.1,108.86,1987-04-29,"US",5,"Arizona State University"
11,"Jamal Crawford","SG",1.98,90.72,1980-03-20,"US",15,"University of Michigan"
22,"Branden Dawson","PF",2.01,102.06,1993-02-01,"US",0,"Michigan State University"
8,"Jeff Green","SF",2.1,106.59,1986-08-28,"US",7,"Georgetown University"
32,"Blake Griffin","PF",1.86,113.85,1989-03-16,"US",5,"University of Oklahoma"
33,"Wesley Johnson","SF",2.04,97.52,1987-07-11,"US",5,"Syracuse University"
6,"DeAndre Jordan","C",1.86,120.2,1988-07-21,"US",7,"Texas A&M University"
12,"Luc Mbah a Moute","PF",2.07,104.33,1986-09-09,"CM",7,"University of California, Los Angeles"
3,"Chris Paul","PG",1.83,79.38,1985-05-06,"US",10,"Wake Forest University"
34,"Paul Pierce","SF",2.04,106.59,1977-10-13,"US",17,"University of Kansas"
9,"Pablo Prigioni","PG",1.92,83.91,1977-05-17,"AR",3,NA
4,"J.J. Redick","SG",1.95,86.18,1984-06-24,"US",9,"Duke University"
25,"Austin Rivers","SG",1.95,90.72,1992-08-01,"US",3,"Duke University"
5,"Josh Smith","PF",2.1,102.06,1985-12-05,"US",11,NA
1,"Lance Stephenson","SF",1.98,104.33,1990-09-05,"US",5,"University of Cincinnati"
35,"Alex Stepheson","PF",1.86,122.47,1987-08-07,"US",0,"University of Southern California"
30,"C.J. Wilcox","SG",1.98,88.45,1990-12-30,"US",1,"University of Washington"
