"Number","Player","Position","Height","Weight","Birth Date","Country","Experience","College"
2,"Brandon Bass","PF",2.07,113.4,1985-04-30,"US",10,"Louisiana State University"
28,"Tarik Black","C",2.1,113.4,1991-11-22,"US",1,"University of Kansas"
3,"Anthony Brown","SF",2.04,95.25,1992-10-10,"US",0,"Stanford University"
24,"Kobe Bryant","SF",2.01,96.16,1978-08-23,"US",19,NA
6,"Jordan Clarkson","SG",1.98,88,1992-06-07,"US",1,"University of Missouri"
17,"Roy Hibbert","C",2.19,122.47,1986-12-11,"US",7,"Georgetown University"
9,"Marcelo Huertas","PG",1.92,90.72,1983-05-25,"BR",0,NA
4,"Ryan Kelly","PF",1.86,104.33,1991-04-09,"US",2,"Duke University"
7,"Larry Nance Jr.","PF",2.1,104.33,1993-01-01,"US",0,"University of Wyoming"
30,"Julius Randle","PF",2.1,113.4,1994-11-29,"US",1,"University of Kentucky"
1,"D'Angelo Russell","PG",1.98,88.45,1996-02-23,"US",0,"Ohio State University"
50,"Robert Sacre","C",2.13,122.47,1989-06-06,"US",3,"Gonzaga University"
23,"Lou Williams","SG",1.86,79.38,1986-10-27,"US",10,NA
37,"Metta World Peace","SF",2.01,117.93,1979-11-13,"US",15,"St. John's University"
0,"Nick Young","SG",2.04,95.25,1985-06-01,"US",8,"University of Southern California"
