"","Number","Player","Position","Height","Weight","Birth Date","Country","Experience","College","Team"
"1",3,"Jordan Adams","SG",1.98,94.8,1994-07-08,"US",1,"University of California, Los Angeles","CHO"
"2",9,"Tony Allen","SG",1.95,96.62,1982-01-11,"US",11,"Oklahoma State University","CHO"
"3",7,"Chris Andersen","C",1.86,111.13,1978-07-07,"US",13,"Blinn College","CHO"
"4",22,"Matt Barnes","SF",2.04,102.51,1980-03-09,"US",12,"University of California, Los Angeles","CHO"
"5",15,"Vince Carter","SG",2.01,99.79,1977-01-26,"US",17,"University of North Carolina","CHO"
"6",6,"Mario Chalmers","PG",1.89,86.18,1986-05-19,"US",7,"University of Kansas","CHO"
"7",11,"Mike Conley","PG",1.86,79.38,1987-10-11,"US",8,"Ohio State University","CHO"
"8",8,"Bryce Cotton","PG",1.86,74.84,1992-08-11,"US",1,"Providence College","CHO"
"9",8,"James Ennis","SF",2.04,95.25,1990-07-01,"US",1,"California State University, Long Beach","CHO"
"10",4,"Jordan Farmar","PG",1.89,81.65,1986-11-30,"US",8,"University of California, Los Angeles","CHO"
"11",33,"Marc Gasol","C",2.16,115.67,1985-01-29,"ES",7,NA,"CHO"
"12",0,"JaMychal Green","PF",2.1,102.97,1990-06-21,"US",1,"University of Alabama","CHO"
"13",32,"Jeff Green","SF",2.1,106.59,1986-08-28,"US",7,"Georgetown University","CHO"
"14",19,"P.J. Hairston","SF",2.01,104.33,1992-12-24,"US",1,"University of North Carolina","CHO"
"15",20,"Ryan Hollins","C",2.13,108.86,1984-10-10,"US",9,"University of California, Los Angeles","CHO"
"16",5,"Courtney Lee","SG",1.98,90.72,1985-10-03,"US",7,"Western Kentucky University","CHO"
"17",10,"Jarell Martin","PF",1.86,108.41,1994-05-24,"US",0,"Louisiana State University","CHO"
"18",5,"Ray McCallum","PG",1.92,86.18,1991-06-12,"US",2,"University of Detroit Mercy","CHO"
"19",14,"Xavier Munford","SG",1.89,81.65,1992-06-01,"US",0,"University of Rhode Island","CHO"
"20",50,"Zach Randolph","PF",2.1,117.93,1981-07-16,"US",14,"Michigan State University","CHO"
"21",2,"Russ Smith","PG",1.83,74.84,1991-04-19,"US",1,"University of Louisville","CHO"
"22",1,"Lance Stephenson","SF",1.98,104.33,1990-09-05,"US",5,"University of Cincinnati","CHO"
"23",35,"Alex Stepheson","PF",1.86,122.47,1987-08-07,"US",0,"University of Southern California","CHO"
"24",1,"Jarnell Stokes","C",2.1,119.29,1994-01-07,"US",1,"University of Tennessee","CHO"
"25",19,"Beno Udrih","PG",1.92,92.99,1982-07-05,"SI",11,NA,"CHO"
"26",2,"Briante Weber","PG",1.89,74.84,1992-12-29,"US",0,"Virginia Commonwealth University","CHO"
"27",25,"Elliot Williams","PG",1.98,86.18,1989-06-20,"US",3,"University of Memphis","CHO"
"28",34,"Brandan Wright","PF",1.86,95.25,1987-10-05,"US",7,"University of North Carolina","CHO"
