"","Number","Player","Position","Height","Weight","Birth Date","Country","Experience","College","Team"
"1",88,"Nemanja Bjelica","PF",1.86,108.86,1988-05-09,"RS",0,NA,"CHO"
"2",5,"Gorgui Dieng","C",1.86,109.32,1990-01-18,"SN",2,"University of Louisville","CHO"
"3",21,"Kevin Garnett","PF",1.86,108.86,1976-05-19,"US",20,NA,"CHO"
"4",1,"Tyus Jones","PG",1.89,88.45,1996-05-10,"US",0,"Duke University","CHO"
"5",8,"Zach LaVine","SG",1.98,85.73,1995-03-10,"US",1,"University of California, Los Angeles","CHO"
"6",23,"Kevin Martin","SG",2.04,90.26,1983-02-01,"US",11,"Western Carolina University","CHO"
"7",24,"Andre Miller","PG",1.92,90.72,1976-03-19,"US",16,"University of Utah","CHO"
"8",15,"Shabazz Muhammad","SF",2.01,101.15,1992-11-13,"US",2,"University of California, Los Angeles","CHO"
"9",33,"Adreian Payne","PF",1.86,107.5,1991-02-19,"US",1,"Michigan State University","CHO"
"10",14,"Nikola Pekovic","C",1.86,139.25,1986-01-03,"ME",5,NA,"CHO"
"11",12,"Tayshaun Prince","SF",2.1,96.16,1980-02-28,"US",13,"University of Kentucky","CHO"
"12",9,"Ricky Rubio","PG",1.95,88,1990-10-21,"ES",4,NA,"CHO"
"13",10,"Damjan Rudez","SF",1.86,103.42,1986-06-17,"HR",1,NA,"CHO"
"14",4,"Greg Smith","PF",1.86,113.4,1991-01-08,"US",4,"California State University, Fresno","CHO"
"15",32,"Karl-Anthony Towns","C",2.13,110.68,1995-11-15,"US",0,"University of Kentucky","CHO"
"16",22,"Andrew Wiggins","SF",2.07,90.26,1995-02-23,"CA",1,"University of Kansas","CHO"
