"Number","Player","Position","Height","Weight","Birth Date","Country","Experience","College","Team"
4,"Arron Afflalo","SG",1.98,95.25,1985-10-15,"US",8,"University of California, Los Angeles","CHO"
17,"Lou Amundson","PF",2.1,99.79,1982-12-07,"US",9,"University of Nevada, Las Vegas","CHO"
43,"Thanasis Antetokounmpo","SF",2.04,92.99,1992-07-17,"GR",0,NA,"CHO"
7,"Carmelo Anthony","SF",2.07,108.86,1984-05-29,"US",12,"Syracuse University","CHO"
3,"Jose Calderon","PG",1.92,90.72,1981-09-28,"ES",10,NA,"CHO"
11,"Cleanthony Early","SF",2.07,95.25,1991-04-17,"US",1,"Wichita State University","CHO"
32,"Jimmer Fredette","SG",1.89,88.45,1989-02-25,"US",4,"Brigham Young University","CHO"
2,"Langston Galloway","PG",1.89,90.72,1991-12-09,"US",1,"Saint Joseph's University","CHO"
13,"Jerian Grant","PG",1.95,88.45,1992-10-09,"US",0,"University of Notre Dame","CHO"
8,"Robin Lopez","C",2.13,115.67,1988-04-01,"US",7,"Stanford University","CHO"
9,"Kyle O'Quinn","PF",1.86,113.4,1990-03-26,"US",3,"Norfolk State University","CHO"
6,"Kristaps Porzingis","PF",2.23,108.86,1995-08-02,"LV",0,NA,"CHO"
1,"Kevin Seraphin","C",2.1,129.27,1989-12-07,"GF",5,NA,"CHO"
42,"Lance Thomas","PF",2.07,106.59,1988-04-24,"US",4,"Duke University","CHO"
18,"Sasha Vujacic","SG",2.04,88.45,1984-03-08,"SI",8,NA,"CHO"
23,"Derrick Williams","SF",2.07,108.86,1991-05-25,"US",4,"University of Arizona","CHO"
