"","Number","Player","Position","Height","Weight","Birth Date","Country","Experience","College","Team"
"1",15,"Keith Appling","PG",1.86,83.91,1992-02-13,"US",0,"Michigan State University","CHO"
"2",3,"Dewayne Dedmon","C",2.13,111.13,1989-08-12,"US",2,"University of Southern California","CHO"
"3",10,"Evan Fournier","SF",2.04,92.99,1992-10-29,"FR",3,NA,"CHO"
"4",8,"Channing Frye","PF",1.86,115.67,1983-05-17,"US",9,"University of Arizona","CHO"
"5",0,"Aaron Gordon","PF",2.1,99.79,1995-09-16,"US",1,"University of Arizona","CHO"
"6",12,"Tobias Harris","PF",2.1,106.59,1992-07-15,"US",4,"University of Tennessee","CHO"
"7",23,"Mario Hezonja","SF",2.07,97.52,1995-02-25,"HR",0,NA,"CHO"
"8",7,"Ersan Ilyasova","PF",1.86,106.59,1987-05-15,"TR",7,NA,"CHO"
"9",55,"Brandon Jennings","PG",1.86,77.11,1989-09-23,"US",6,NA,"CHO"
"10",11,"Devyn Marble","SG",2.01,90.72,1992-09-21,"US",1,"University of Iowa","CHO"
"11",13,"Shabazz Napier","PG",1.86,79.38,1991-07-14,"US",1,"University of Connecticut","CHO"
"12",44,"Andrew Nicholson","PF",2.1,113.4,1989-12-08,"CA",3,"St. Bonaventure University","CHO"
"13",5,"Victor Oladipo","SG",1.95,95.25,1992-05-04,"US",2,"Indiana University","CHO"
"14",4,"Elfrid Payton","PG",1.95,83.91,1994-02-22,"US",1,"University of Louisiana at Lafayette","CHO"
"15",14,"Jason Smith","C",2.13,111.13,1986-03-02,"US",7,"Colorado State University","CHO"
"16",9,"Nikola Vucevic","C",2.13,117.93,1990-10-24,"CH",4,"University of Southern California","CHO"
"17",32,"C.J. Watson","PG",1.89,79.38,1984-04-17,"US",8,"University of Tennessee","CHO"
