"Number","Player","Position","Height","Weight","Birth Date","Country","Experience","College","Team"
2,"Eric Bledsoe","PG",1.86,86.18,1989-12-09,"US",5,"University of Kentucky","CHO"
1,"Devin Booker","SG",2.01,93.44,1996-10-30,"US",0,"University of Kentucky","CHO"
41,"Lorenzo Brown","PG",1.98,85.73,1990-08-26,"US",2,"North Carolina State University","CHO"
10,"Chase Budinger","SF",2.04,94.8,1988-05-22,"US",6,"University of Arizona","CHO"
4,"Tyson Chandler","C",2.16,108.86,1982-10-02,"US",14,NA,"CHO"
8,"Bryce Cotton","PG",1.86,74.84,1992-08-11,"US",1,"Providence College","CHO"
20,"Archie Goodwin","PG",1.98,90.72,1994-08-17,"US",2,"University of Kentucky","CHO"
43,"Kris Humphries","PF",2.1,106.59,1985-02-06,"US",11,"University of Minnesota","CHO"
55,"Cory Jefferson","PF",2.1,98.88,1990-12-26,"US",1,"Baylor University","CHO"
23,"John Jenkins","SG",1.95,97.52,1991-03-06,"US",3,"Vanderbilt University","CHO"
0,"Orlando Johnson","SG",1.98,99.79,1989-03-11,"US",2,"University of California, Santa Barbara","CHO"
3,"Brandon Knight","SG",1.92,85.73,1991-12-02,"US",4,"University of Kentucky","CHO"
21,"Alex Len","C",2.16,117.93,1993-06-16,"UA",2,"University of Maryland","CHO"
30,"Jon Leuer","PF",1.86,103.42,1989-05-14,"US",4,"University of Wisconsin","CHO"
52,"Jordan McRae","PG",2.01,83.91,1991-03-28,"US",0,"University of Tennessee","CHO"
11,"Markieff Morris","PF",1.86,111.13,1989-09-02,"US",4,"University of Kansas","CHO"
25,"Phil Pressey","PG",1.56,79.38,1991-02-17,"US",2,"University of Missouri","CHO"
14,"Ronnie Price","PG",1.89,86.18,1983-06-21,"US",10,"Utah Valley State College","CHO"
35,"Mirza Teletovic","PF",2.1,109.77,1985-09-18,"BA",3,NA,"CHO"
17,"P.J. Tucker","SF",2.01,111.13,1985-05-05,"US",4,"University of Texas at Austin","CHO"
12,"T.J. Warren","SF",2.07,104.33,1993-09-05,"US",1,"North Carolina State University","CHO"
10,"Sonny Weems","SG",2.01,92.99,1986-07-08,"US",3,"University of Arkansas","CHO"
15,"Alan Williams","PF",2.07,117.93,1993-01-28,"US",0,"University of California, Santa Barbara","CHO"
