"","Number","Player","Position","Height","Weight","Birth Date","Country","Experience","College","Team"
"1",12,"LaMarcus Aldridge","PF",1.86,117.93,1985-07-19,"US",9,"University of Texas at Austin","CHO"
"2",1,"Kyle Anderson","SF",2.1,104.33,1993-09-20,"US",1,"University of California, Los Angeles","CHO"
"3",15,"Matt Bonner","C",1.86,106.59,1980-04-05,"US",11,"University of Florida","CHO"
"4",18,"Rasual Butler","SF",2.04,97.52,1979-05-23,"US",12,"La Salle University","CHO"
"5",33,"Boris Diaw","PF",2.07,113.4,1982-04-16,"FR",12,NA,"CHO"
"6",21,"Tim Duncan","C",1.86,113.4,1976-04-25,"VI",18,"Wake Forest University","CHO"
"7",20,"Manu Ginobili","SG",2.01,92.99,1977-07-28,"AR",13,NA,"CHO"
"8",14,"Danny Green","SG",2.01,97.52,1987-06-22,"US",6,"University of North Carolina","CHO"
"9",2,"Kawhi Leonard","SF",2.04,104.33,1991-06-29,"US",4,"San Diego State University","CHO"
"10",40,"Boban Marjanovic","C",2.23,131.54,1988-08-15,"RS",0,NA,"CHO"
"11",23,"Kevin Martin","SG",2.04,90.26,1983-02-01,"US",11,"Western Carolina University","CHO"
"12",3,"Ray McCallum","PG",1.92,86.18,1991-06-12,"US",2,"University of Detroit Mercy","CHO"
"13",24,"Andre Miller","PG",1.92,90.72,1976-03-19,"US",16,"University of Utah","CHO"
"14",8,"Patrick Mills","PG",1.83,83.91,1988-08-11,"AU",6,"Saint Mary's College of California","CHO"
"15",9,"Tony Parker","PG",1.89,83.91,1982-05-17,"BE",14,NA,"CHO"
"16",17,"Jonathon Simmons","SG",2.01,88.45,1989-09-14,"US",0,"University of Houston","CHO"
"17",30,"David West","PF",2.1,113.4,1980-08-29,"US",12,"Xavier University","CHO"
