"Number","Player","Position","Height","Weight","Birth Date","Country","Experience","College","Team"
6,"Alan Anderson","SG",2.01,99.79,1982-10-16,"US",6,"Michigan State University","CHO"
3,"Bradley Beal","SG",1.98,93.89,1993-06-28,"US",3,"University of Florida","CHO"
45,"DeJuan Blair","C",2.04,122.47,1989-04-22,"US",6,"University of Pittsburgh","CHO"
1,"Jared Dudley","PF",2.04,102.06,1985-07-10,"US",8,"Boston College","CHO"
8,"Jarell Eddie","SF",2.04,98.88,1991-10-30,"US",0,"Virginia Polytechnic Institute and State University","CHO"
90,"Drew Gooden","PF",1.86,113.4,1981-09-24,"US",13,"University of Kansas","CHO"
13,"Marcin Gortat","C",1.86,108.86,1984-02-17,"PL",8,NA,"CHO"
21,"J.J. Hickson","C",2.1,109.77,1988-09-04,"US",7,"North Carolina State University","CHO"
42,"Nene Hilario","PF",1.86,113.4,1982-09-13,"BR",13,NA,"CHO"
15,"Ryan Hollins","C",2.13,108.86,1984-10-10,"US",9,"University of California, Los Angeles","CHO"
43,"Kris Humphries","PF",2.1,106.59,1985-02-06,"US",11,"University of Minnesota","CHO"
5,"Markieff Morris","PF",1.86,111.13,1989-09-02,"US",4,"University of Kansas","CHO"
14,"Gary Neal","SG",1.95,95.25,1984-10-03,"US",5,"Towson University","CHO"
12,"Kelly Oubre","SF",2.04,92.99,1995-12-09,"US",0,"University of Kansas","CHO"
22,"Otto Porter","SF",2.07,89.81,1993-06-03,"US",2,"Georgetown University","CHO"
7,"Ramon Sessions","PG",1.92,86.18,1986-04-11,"US",8,"University of Nevada, Reno","CHO"
17,"Garrett Temple","SF",2.01,88.45,1986-05-08,"US",5,"Louisiana State University","CHO"
15,"Marcus Thornton","SG",1.95,92.99,1987-06-05,"US",6,"Louisiana State University","CHO"
2,"John Wall","PG",1.95,88.45,1990-09-06,"US",5,"University of Kentucky","CHO"
