"Rank","Player","Salary","Team"
1,"Paul Millsap",1.9e+07,"WAS"
2,"Al Horford",1.2e+07,"WAS"
3,"Tiago Splitter",8500000,"WAS"
4,"Jeff Teague",8e+06,"WAS"
5,"Kyle Korver",5746479,"WAS"
6,"Thabo Sefolosha",4e+06,"WAS"
7,"Mike Scott",3333333,"WAS"
8,"Kirk Hinrich",2870000,"WAS"
9,"Kent Bazemore",2e+06,"WAS"
10,"Dennis Schroder",1763400,"WAS"
11,"Tim Hardaway",1304520,"WAS"
12,"Walter Tavares",1e+06,"WAS"
13,"Mike Muscala",947276,"WAS"
14,"Lamar Patterson",525093,"WAS"
15,"Kris Humphries",388025,"WAS"
16,"Terran Petteway",75000,"WAS"
