"Rank","Player","Salary","Team"
1,"David Lee",15493680,"WAS"
2,"Amir Johnson",1.2e+07,"WAS"
3,"Avery Bradley",7730337,"WAS"
4,"Isaiah Thomas",6912869,"WAS"
5,"Jae Crowder",6e+06,"WAS"
6,"Jonas Jerebko",5e+06,"WAS"
7,"Marcus Smart",3431040,"WAS"
8,"Evan Turner",3425510,"WAS"
9,"Tyler Zeller",2616975,"WAS"
10,"Jared Sullinger",2269260,"WAS"
11,"Kelly Olynyk",2165160,"WAS"
12,"Zoran Dragic",2050397,"WAS"
13,"Perry Jones",2038206,"WAS"
14,"Terry Rozier",1824360,"WAS"
15,"James Young",1749840,"WAS"
16,"Jordan Mickey",1200000,"WAS"
17,"R.J. Hunter",1148640,"WAS"
18,"Coty Clarke",61776,"WAS"
19,"Corey Walden",25000,"WAS"
20,"Malcolm Miller",25000,"WAS"
21,"Levi Randolph",25000,"WAS"
22,"John Holland",9266,"WAS"
