"Rank","Player","Salary","Team"
1,"Joe Johnson",24894863,"WAS"
2,"Brook Lopez",2e+07,"WAS"
3,"Thaddeus Young",11200000,"WAS"
4,"Jarrett Jack",6300000,"WAS"
5,"Deron Williams",5500000,"WAS"
6,"Bojan Bogdanovic",3425510,"WAS"
7,"Sergey Karasev",1599840,"WAS"
8,"Shane Larkin",1500000,"WAS"
9,"Wayne Ellington",1500000,"WAS"
10,"Andrea Bargnani",1362900,"WAS"
11,"Rondae Hollis-Jefferson",1335480,"WAS"
12,"Chris McCullough",1140240,"WAS"
13,"Donald Sloan",1015421,"WAS"
14,"Thomas Robinson",981300,"WAS"
15,"Willie Reed",947276,"WAS"
16,"Markel Brown",845059,"WAS"
17,"Sean Kilpatrick",320594,"WAS"
18,"Henry Sims",161622,"WAS"
19,"Ryan Boatright",75000,"WAS"
20,"Quincy Miller",50000,"WAS"
