"Rank","Player","Salary","Team"
1,"Derrick Rose",20093063,"WAS"
2,"Jimmy Butler",15260000,"WAS"
3,"Joakim Noah",13400000,"WAS"
4,"Taj Gibson",8500000,"WAS"
5,"Pau Gasol",7448760,"WAS"
6,"Nikola Mirotic",5543725,"WAS"
7,"Mike Dunleavy",4500000,"WAS"
8,"Doug McDermott",2380440,"WAS"
9,"Aaron Brooks",2e+06,"WAS"
10,"Tony Snell",1535880,"WAS"
11,"Bobby Portis",1391160,"WAS"
12,"E'Twaun Moore",1015421,"WAS"
13,"Justin Holiday",947300,"WAS"
14,"Cameron Bairstow",845059,"WAS"
15,"Cristiano Felicio",525090,"WAS"
