"Rank","Player","Salary","Team"
1,"Al Jefferson",13833333,"WAS"
2,"Nicolas Batum",12235750,"WAS"
3,"Kemba Walker",1.2e+07,"WAS"
4,"Marvin Williams",7e+06,"WAS"
5,"Michael Kidd-Gilchrist",6331404,"WAS"
6,"Courtney Lee",5675000,"WAS"
7,"Spencer Hawes",5543725,"WAS"
8,"Cody Zeller",4204200,"WAS"
9,"Jeremy Lamb",3034356,"WAS"
10,"Frank Kaminsky",2612500,"WAS"
11,"Jeremy Lin",2100000,"WAS"
12,"Tyler Hansbrough",1185784,"WAS"
13,"Troy Daniels",947276,"WAS"
14,"Aaron Harrison",525093,"WAS"
15,"Jorge Gutierrez",301444,"WAS"
16,"Elliot Williams",80000,"WAS"
