"Rank","Player","Salary","Team"
1,"LeBron James",22971000,"WAS"
2,"Kevin Love",19500000,"WAS"
3,"Kyrie Irving",14746000,"WAS"
4,"Tristan Thompson",14260870,"WAS"
5,"Iman Shumpert",9e+06,"WAS"
6,"Channing Frye",7807579,"WAS"
7,"J.R. Smith",5e+06,"WAS"
8,"Timofey Mozgov",4950000,"WAS"
9,"Mo Williams",2100000,"WAS"
10,"James Jones",1499000,"WAS"
11,"Richard Jefferson",1499000,"WAS"
12,"Sasha Kaun",1300000,"WAS"
13,"Matthew Dellavedova",1147280,"WAS"
14,"Jordan McRae",172972,"WAS"
15,"Dahntay Jones",8819,"WAS"
