"Rank","Player","Salary","Team"
1,"Wesley Matthews",16400000,"WAS"
2,"Chandler Parsons",15361500,"WAS"
3,"Dirk Nowitzki",8333334,"WAS"
4,"Deron Williams",5500000,"WAS"
5,"Zaza Pachulia",5200000,"WAS"
6,"Devin Harris",4053000,"WAS"
7,"J.J. Barea",4e+06,"WAS"
8,"Raymond Felton",3950313,"WAS"
9,"David Lee",2102224,"WAS"
10,"Charlie Villanueva",1499187,"WAS"
11,"Samuel Dalembert",1499187,"WAS"
12,"Justin Anderson",1449000,"WAS"
13,"JaVale McGee",1270964,"WAS"
14,"Jeremy Evans",1100602,"WAS"
15,"Dwight Powell",845059,"WAS"
16,"Maurice Ndour",525094,"WAS"
17,"Salah Mejri",525093,"WAS"
18,"Gal Mekel",315760,"WAS"
19,"Brandon Ashley",50000,"WAS"
20,"Jamil Wilson",50000,"WAS"
21,"Jarrid Famous",10000,"WAS"
