"Rank","Player","Salary","Team"
1,"Danilo Gallinari",1.4e+07,"WAS"
2,"Kenneth Faried",11235955,"WAS"
3,"Wilson Chandler",10500000,"WAS"
4,"J.J. Hickson",5613500,"WAS"
5,"Jameer Nelson",4500000,"WAS"
6,"Steve Novak",3750000,"WAS"
7,"Will Barton",3333333,"WAS"
8,"Emmanuel Mudiay",3102240,"WAS"
9,"D.J. Augustin",3e+06,"WAS"
10,"Darrell Arthur",2814000,"WAS"
11,"Jusuf Nurkic",1842000,"WAS"
12,"Joffrey Lauvergne",1709720,"WAS"
13,"Gary Harris",1587480,"WAS"
14,"Mike Miller",1499187,"WAS"
15,"Nikola Jokic",1300000,"WAS"
16,"Joey Dorsey",1015421,"WAS"
17,"Nick Johnson",845059,"WAS"
18,"Kostas Papanikolaou",350000,"WAS"
19,"JaKarr Sampson",285489,"WAS"
20,"Axel Toupane",123552,"WAS"
21,"Erick Green",1e+05,"WAS"
22,"Sean Kilpatrick",99418,"WAS"
