"Rank","Player","Salary","Team"
1,"Tobias Harris",1.6e+07,"WAS"
2,"Reggie Jackson",1.4e+07,"WAS"
3,"Aron Baynes",6500000,"WAS"
4,"Jodie Meeks",6270000,"WAS"
5,"Josh Smith",5400000,"WAS"
6,"Marcus Morris",5e+06,"WAS"
7,"Andre Drummond",3272091,"WAS"
8,"Anthony Tolliver",3e+06,"WAS"
9,"Kentavious Caldwell-Pope",2891760,"WAS"
10,"Stanley Johnson",2841960,"WAS"
11,"Joel Anthony",2500000,"WAS"
12,"Danny Granger",2170465,"WAS"
13,"Steve Blake",2170465,"WAS"
14,"Cartier Martin",1270964,"WAS"
15,"Reggie Bullock",1252440,"WAS"
16,"Spencer Dinwiddie",845059,"WAS"
17,"Darrun Hilliard",525093,"WAS"
18,"Aaron Gray",452059,"WAS"
19,"Lorenzo Brown",117016,"WAS"
20,"Justin Harper",99418,"WAS"
21,"Adonis Thomas",60000,"WAS"
