"Rank","Player","Salary","Team"
1,"Klay Thompson",15500000,"WAS"
2,"Draymond Green",14300000,"WAS"
3,"Andrew Bogut",1.2e+07,"WAS"
4,"Andre Iguodala",11710456,"WAS"
5,"Stephen Curry",11370786,"WAS"
6,"Jason Thompson",6431250,"WAS"
7,"Shaun Livingston",5543725,"WAS"
8,"Harrison Barnes",3873398,"WAS"
9,"Marreese Speights",3815000,"WAS"
10,"Leandro Barbosa",2500000,"WAS"
11,"Festus Ezeli",2008748,"WAS"
12,"Brandon Rush",1270964,"WAS"
13,"Kevon Looney",1131960,"WAS"
14,"Ian Clark",947276,"WAS"
15,"James Michael McAdoo",845059,"WAS"
16,"Anderson Varejao",458575,"WAS"
