"Rank","Player","Salary","Team"
1,"Dwight Howard",22359364,"WAS"
2,"James Harden",15756438,"WAS"
3,"Ty Lawson",12404495,"WAS"
4,"Corey Brewer",8200000,"WAS"
5,"Trevor Ariza",8193030,"WAS"
6,"Patrick Beverley",6500000,"WAS"
7,"K.J. McDaniels",3333333,"WAS"
8,"Terrence Jones",2489530,"WAS"
9,"Donatas Motiejunas",2288205,"WAS"
10,"Sam Dekker",1646400,"WAS"
11,"Jason Terry",1499187,"WAS"
12,"Josh Smith",1499000,"WAS"
13,"Clint Capela",1242720,"WAS"
14,"Marcus Thornton",1186000,"WAS"
15,"Montrezl Harrell",1e+06,"WAS"
16,"Michael Beasley",306527,"WAS"
17,"Andrew Goudelock",200600,"WAS"
18,"Chuck Hayes",83583,"WAS"
