"Rank","Player","Salary","Team"
1,"Paul George",17120106,"WAS"
2,"Monta Ellis",10300000,"WAS"
3,"George Hill",8e+06,"WAS"
4,"Rodney Stuckey",6500000,"WAS"
5,"Chase Budinger",5e+06,"WAS"
6,"C.J. Miles",4394225,"WAS"
7,"Jordan Hill",4e+06,"WAS"
8,"Ian Mahinmi",4e+06,"WAS"
9,"Lavoy Allen",3700000,"WAS"
10,"Myles Turner",2357760,"WAS"
11,"Solomon Hill",1358880,"WAS"
12,"Rakeem Christmas",1e+06,"WAS"
13,"Joseph Young",1e+06,"WAS"
14,"Shayne Whittington",845059,"WAS"
15,"Glenn Robinson",845000,"WAS"
16,"Toney Douglas",6e+05,"WAS"
17,"Ty Lawson",265058,"WAS"
