"Rank","Player","Salary","Team"
1,"Chris Paul",21468696,"WAS"
2,"DeAndre Jordan",19500000,"WAS"
3,"Blake Griffin",18907725,"WAS"
4,"Jeff Green",9200000,"WAS"
5,"J.J. Redick",6867000,"WAS"
6,"Jamal Crawford",5675000,"WAS"
7,"Paul Pierce",3400000,"WAS"
8,"Austin Rivers",3100000,"WAS"
9,"Luc Mbah a Moute",1270964,"WAS"
10,"C.J. Wilcox",1159680,"WAS"
11,"Wesley Johnson",1100600,"WAS"
12,"Cole Aldrich",1100600,"WAS"
13,"Pablo Prigioni",981348,"WAS"
14,"Carlos Delfino",650000,"WAS"
15,"Branden Dawson",525093,"WAS"
16,"Jeff Ayres",317232,"WAS"
17,"Miroslav Raduljica",3e+05,"WAS"
18,"Alex Stepheson",61776,"WAS"
