"Rank","Player","Salary","Team"
1,"Kobe Bryant",2.5e+07,"WAS"
2,"Roy Hibbert",15500000,"WAS"
3,"Lou Williams",7e+06,"WAS"
4,"Nick Young",5219169,"WAS"
5,"D'Angelo Russell",5103120,"WAS"
6,"Julius Randle",3132240,"WAS"
7,"Brandon Bass",3e+06,"WAS"
8,"Ryan Kelly",1724250,"WAS"
9,"Metta World Peace",1499187,"WAS"
10,"Larry Nance Jr.",1155600,"WAS"
11,"Robert Sacre",981348,"WAS"
12,"Jordan Clarkson",845059,"WAS"
13,"Tarik Black",845059,"WAS"
14,"Anthony Brown",7e+05,"WAS"
15,"Marcelo Huertas",525093,"WAS"
16,"Jonathan Holmes",1e+05,"WAS"
17,"Michael Frazier",50000,"WAS"
18,"Robert Upshaw",35000,"WAS"
