"Rank","Player","Salary","Team"
1,"Marc Gasol",19700000,"WAS"
2,"Zach Randolph",9638555,"WAS"
3,"Mike Conley",9588426,"WAS"
4,"Lance Stephenson",9e+06,"WAS"
5,"Brandan Wright",5500000,"WAS"
6,"Tony Allen",5168539,"WAS"
7,"Chris Andersen",5e+06,"WAS"
8,"Mario Chalmers",4300000,"WAS"
9,"Vince Carter",4088091,"WAS"
10,"Matt Barnes",3542500,"WAS"
11,"Jordan Adams",1404600,"WAS"
12,"Jarell Martin",1230840,"WAS"
13,"P.J. Hairston",1201440,"WAS"
14,"James Ennis",845059,"WAS"
15,"JaMychal Green",845059,"WAS"
16,"Russ Smith",816482,"WAS"
17,"Ryan Hollins",593056,"WAS"
18,"Jordan Farmar",191456,"WAS"
19,"Ray McCallum",111444,"WAS"
20,"Xavier Munford",89588,"WAS"
21,"Bryce Cotton",64622,"WAS"
22,"Elliot Williams",55722,"WAS"
23,"Briante Weber",30888,"WAS"
24,"Alex Stepheson",30888,"WAS"
