"Rank","Player","Salary","Team"
1,"Chris Bosh",22192730,"WAS"
2,"Dwyane Wade",2e+07,"WAS"
3,"Goran Dragic",14780000,"WAS"
4,"Luol Deng",10151612,"WAS"
5,"Josh McRoberts",5543725,"WAS"
6,"Udonis Haslem",2854940,"WAS"
7,"Justise Winslow",2481720,"WAS"
8,"Beno Udrih",2170465,"WAS"
9,"Amar'e Stoudemire",1499187,"WAS"
10,"Gerald Green",1356000,"WAS"
11,"Hassan Whiteside",981348,"WAS"
12,"Tyler Johnson",845059,"WAS"
13,"Josh Richardson",525093,"WAS"
14,"Joe Johnson",414481,"WAS"
15,"Dorell Wright",17637,"WAS"
16,"Briante Weber",12355,"WAS"
