"Rank","Player","Salary","Team"
1,"Greg Monroe",16400000,"WAS"
2,"Khris Middleton",1.5e+07,"WAS"
3,"O.J. Mayo",8e+06,"WAS"
4,"Greivis Vasquez",6600000,"WAS"
5,"Jabari Parker",5152440,"WAS"
6,"Jerryd Bayless",3e+06,"WAS"
7,"John Henson",2943221,"WAS"
8,"Michael Carter-Williams",2399040,"WAS"
9,"Miles Plumlee",2109294,"WAS"
10,"Giannis Antetokounmpo",1953960,"WAS"
11,"Larry Sanders",1865547,"WAS"
12,"Rashad Vaughn",1733040,"WAS"
13,"Tyler Ennis",1662360,"WAS"
14,"Damien Inglis",855000,"WAS"
15,"Johnny O'Bryant",845059,"WAS"
16,"Steve Novak",416886,"WAS"
17,"Jared Cunningham",57726,"WAS"
