"Rank","Player","Salary","Team"
1,"Ricky Rubio",12365000,"WAS"
2,"Nikola Pekovic",12100000,"WAS"
3,"Kevin Garnett",8500000,"WAS"
4,"Kevin Martin",7085000,"WAS"
5,"Andrew Wiggins",5758680,"WAS"
6,"Karl-Anthony Towns",5703600,"WAS"
7,"Nemanja Bjelica",4e+06,"WAS"
8,"Anthony Bennett",3650000,"WAS"
9,"Zach LaVine",2148360,"WAS"
10,"Shabazz Muhammad",2056920,"WAS"
11,"Adreian Payne",1938840,"WAS"
12,"Andre Miller",1499187,"WAS"
13,"Tayshaun Prince",1499187,"WAS"
14,"Gorgui Dieng",1474440,"WAS"
15,"Tyus Jones",1282080,"WAS"
16,"Damjan Rudez",1149500,"WAS"
17,"Greg Smith",247623,"WAS"
