"Rank","Player","Salary","Team"
1,"Eric Gordon",15514031,"WAS"
2,"Tyreke Evans",11227000,"WAS"
3,"Omer Asik",1.1e+07,"WAS"
4,"Jrue Holiday",10595507,"WAS"
5,"Ryan Anderson",8500000,"WAS"
6,"Anthony Davis",7070730,"WAS"
7,"Alexis Ajinca",4300000,"WAS"
8,"Quincy Pondexter",3382023,"WAS"
9,"Norris Cole",3036927,"WAS"
10,"Dante Cunningham",3e+06,"WAS"
11,"Kendrick Perkins",1499200,"WAS"
12,"Alonzo Gee",1375000,"WAS"
13,"Toney Douglas",1164858,"WAS"
14,"Luke Babbitt",1100000,"WAS"
15,"Jarnell Stokes",845059,"WAS"
16,"Bryce Dejean-Jones",281659,"WAS"
17,"Tim Frazier",144157,"WAS"
18,"Jordan Hamilton",119462,"WAS"
19,"James Ennis",74564,"WAS"
20,"Orlando Johnson",55722,"WAS"
21,"Jimmer Fredette",54812,"WAS"
22,"Nate Robinson",44000,"WAS"
