"Rank","Player","Salary","Team"
1,"Carmelo Anthony",22875000,"WAS"
2,"Robin Lopez",1.3e+07,"WAS"
3,"Arron Afflalo",8e+06,"WAS"
4,"Jose Calderon",7402812,"WAS"
5,"Derrick Williams",4900000,"WAS"
6,"Kristaps Porzingis",4131720,"WAS"
7,"Kyle O'Quinn",3750000,"WAS"
8,"Kevin Seraphin",2800000,"WAS"
9,"Lou Amundson",1650000,"WAS"
10,"Lance Thomas",1650000,"WAS"
11,"Jerian Grant",1572360,"WAS"
12,"Sasha Vujacic",1356146,"WAS"
13,"Cleanthony Early",845059,"WAS"
14,"Langston Galloway",845059,"WAS"
15,"Tony Wroten",167406,"WAS"
16,"Thanasis Antetokounmpo",105888,"WAS"
17,"Wesley Saunders",75000,"WAS"
18,"Darion Atkins",75000,"WAS"
19,"Jimmer Fredette",59731,"WAS"
20,"Travis Trice",50000,"WAS"
