"Rank","Player","Salary","Team"
1,"Kevin Durant",20158622,"WAS"
2,"Russell Westbrook",16744218,"WAS"
3,"Enes Kanter",16400000,"WAS"
4,"Serge Ibaka",12350000,"WAS"
5,"Dion Waiters",5138430,"WAS"
6,"Kyle Singler",5e+06,"WAS"
7,"Nick Collison",3750000,"WAS"
8,"Anthony Morrow",3344000,"WAS"
9,"Randy Foye",3270000,"WAS"
10,"Steven Adams",2279040,"WAS"
11,"Cameron Payne",2021520,"WAS"
12,"Mitch McGary",1463040,"WAS"
13,"Andre Roberson",1210800,"WAS"
14,"Josh Huestis",1140240,"WAS"
15,"Nazr Mohammed",352750,"WAS"
