"Rank","Player","Salary","Team"
1,"Nikola Vucevic",11250000,"WAS"
2,"Brandon Jennings",8344497,"WAS"
3,"Ersan Ilyasova",7900000,"WAS"
4,"Victor Oladipo",5192520,"WAS"
5,"C.J. Watson",5e+06,"WAS"
6,"Jason Smith",4300000,"WAS"
7,"Aaron Gordon",4171680,"WAS"
8,"Mario Hezonja",3741480,"WAS"
9,"Elfrid Payton",2505720,"WAS"
10,"Andrew Nicholson",2380594,"WAS"
11,"Evan Fournier",2288205,"WAS"
12,"Shabazz Napier",1294440,"WAS"
13,"Chris Copeland",1100000,"WAS"
14,"Jared Cunningham",981348,"WAS"
15,"Dewayne Dedmon",947278,"WAS"
16,"Devyn Marble",845059,"WAS"
17,"Joe Harris",845059,"WAS"
18,"Keith Appling",161776,"WAS"
19,"Jordan Sibert",1e+05,"WAS"
