"Rank","Player","Salary","Team"
1,"JaVale McGee",1.2e+07,"WAS"
2,"Gerald Wallace",10105855,"WAS"
3,"Carl Landry",6500000,"WAS"
4,"Joel Embiid",4626960,"WAS"
5,"Jahlil Okafor",4582680,"WAS"
6,"Nerlens Noel",3457800,"WAS"
7,"Furkan Aldemir",3e+06,"WAS"
8,"Nik Stauskas",2869440,"WAS"
9,"Sonny Weems",2800000,"WAS"
10,"Tony Wroten",2179354,"WAS"
11,"Kendall Marshall",2144722,"WAS"
12,"Ish Smith",1100602,"WAS"
13,"Richaun Holmes",1050000,"WAS"
14,"Robert Covington",1e+06,"WAS"
15,"Isaiah Canaan",947276,"WAS"
16,"Hollis Thompson",947276,"WAS"
17,"Elton Brand",890693,"WAS"
18,"JaKarr Sampson",845059,"WAS"
19,"Jerami Grant",845059,"WAS"
20,"Pierre Jackson",750000,"WAS"
21,"T.J. McConnell",525093,"WAS"
22,"Christian Wood",305789,"WAS"
23,"Phil Pressey",172739,"WAS"
