"Rank","Player","Salary","Team"
1,"Eric Bledsoe",13086957,"WAS"
2,"Tyson Chandler",1.3e+07,"WAS"
3,"Brandon Knight",1.2e+07,"WAS"
4,"Mirza Teletovic",5500000,"WAS"
5,"P.J. Tucker",5500000,"WAS"
6,"Kris Humphries",4600000,"WAS"
7,"Alex Len",3807120,"WAS"
8,"Devin Booker",2127840,"WAS"
9,"T.J. Warren",2041080,"WAS"
10,"DeJuan Blair",2e+06,"WAS"
11,"Ronnie Price",1499187,"WAS"
12,"Archie Goodwin",1160160,"WAS"
13,"Jon Leuer",1035000,"WAS"
14,"John Jenkins",981000,"WAS"
15,"Cory Jefferson",421449,"WAS"
16,"Chase Budinger",258082,"WAS"
17,"Bryce Cotton",228663,"WAS"
18,"Alan Williams",114285,"WAS"
19,"Phil Pressey",111444,"WAS"
20,"Lorenzo Brown",111444,"WAS"
21,"Jordan McRae",61776,"WAS"
22,"Orlando Johnson",55722,"WAS"
