"Rank","Player","Salary","Team"
1,"Anderson Varejao",9638554,"WAS"
2,"Al-Farouq Aminu",7500000,"WAS"
3,"Ed Davis",7e+06,"WAS"
4,"Gerald Henderson",6e+06,"WAS"
5,"Chris Kaman",5e+06,"WAS"
6,"Damian Lillard",4236287,"WAS"
7,"Meyers Leonard",3075880,"WAS"
8,"Maurice Harkless",2894059,"WAS"
9,"Brian Roberts",2854940,"WAS"
10,"Mike Miller",2854940,"WAS"
11,"Noah Vonleh",2637720,"WAS"
12,"C.J. McCollum",2525160,"WAS"
13,"Mason Plumlee",1415520,"WAS"
14,"Allen Crabbe",947276,"WAS"
15,"Tim Frazier",845059,"WAS"
16,"Luis Montero",525093,"WAS"
17,"Pat Connaughton",525093,"WAS"
18,"Cliff Alexander",525093,"WAS"
