"Rank","Player","Salary","Team"
1,"DeMarcus Cousins",14728844,"WAS"
2,"Rudy Gay",12403101,"WAS"
3,"Rajon Rondo",9500000,"WAS"
4,"Kosta Koufos",7500000,"WAS"
5,"Marco Belinelli",6333333,"WAS"
6,"Darren Collison",5013559,"WAS"
7,"Willie Cauley-Stein",3398280,"WAS"
8,"Ben McLemore",3156600,"WAS"
9,"Omri Casspi",3e+06,"WAS"
10,"Caron Butler",1499187,"WAS"
11,"James Anderson",1015421,"WAS"
12,"Quincy Acy",981348,"WAS"
13,"Seth Curry",947276,"WAS"
14,"Wayne Ellington",923670,"WAS"
15,"Eric Moreland",845059,"WAS"
16,"Duje Dukan",525093,"WAS"
17,"Marshall Henderson",35000,"WAS"
18,"Vince Hunter",35000,"WAS"
