"Rank","Player","Salary","Team"
1,"LaMarcus Aldridge",19500000,"WAS"
2,"Kawhi Leonard",16500000,"WAS"
3,"Tony Parker",13437500,"WAS"
4,"Danny Green",1e+07,"WAS"
5,"Boris Diaw",7e+06,"WAS"
6,"Tim Duncan",5e+06,"WAS"
7,"Patrick Mills",3578947,"WAS"
8,"Manu Ginobili",2814000,"WAS"
9,"Matt Bonner",1499187,"WAS"
10,"Rasual Butler",1499187,"WAS"
11,"David West",1499000,"WAS"
12,"Boban Marjanovic",1200000,"WAS"
13,"Kyle Anderson",1142879,"WAS"
14,"Ray McCallum",947276,"WAS"
15,"Jonathon Simmons",525093,"WAS"
16,"Jimmer Fredette",507711,"WAS"
17,"Andre Miller",396844,"WAS"
18,"Kevin Martin",317475,"WAS"
