"Rank","Player","Salary","Team"
1,"DeMarre Carroll",13500000,"WAS"
2,"Kyle Lowry",1.2e+07,"WAS"
3,"DeMar DeRozan",9500000,"WAS"
4,"Cory Joseph",7e+06,"WAS"
5,"Patrick Patterson",6268675,"WAS"
6,"Jonas Valanciunas",4660482,"WAS"
7,"Terrence Ross",3553917,"WAS"
8,"Bismack Biyombo",3e+06,"WAS"
9,"Luis Scola",3e+06,"WAS"
10,"James Johnson",2500000,"WAS"
11,"Lucas Nogueira",1842000,"WAS"
12,"Bruno Caboclo",1524000,"WAS"
13,"Delon Wright",1509360,"WAS"
14,"Anthony Bennett",947276,"WAS"
15,"Norman Powell",650000,"WAS"
16,"Jason Thompson",328955,"WAS"
17,"Ronald Roberts",75000,"WAS"
18,"Shannon Scott",25000,"WAS"
19,"Axel Toupane",25000,"WAS"
20,"Michale Kyser",25000,"WAS"
