"Rank","Player","Salary","Team"
1,"Gordon Hayward",15409570,"WAS"
2,"Derrick Favors",11933333,"WAS"
3,"Alec Burks",9213484,"WAS"
4,"Trevor Booker",4775000,"WAS"
5,"Dante Exum",3777720,"WAS"
6,"Tibor Pleiss",3e+06,"WAS"
7,"Trey Burke",2658240,"WAS"
8,"Shelvin Mack",2433333,"WAS"
9,"Joe Ingles",2250000,"WAS"
10,"Trey Lyles",2239800,"WAS"
11,"Rodney Hood",1348440,"WAS"
12,"Rudy Gobert",1175880,"WAS"
13,"Raul Neto",1e+06,"WAS"
14,"Chris Johnson",981348,"WAS"
15,"Jeff Withey",947276,"WAS"
16,"Grant Jerrett",947276,"WAS"
17,"Elijah Millsap",362878,"WAS"
18,"J.J. O'Brien",105888,"WAS"
19,"Erick Green",99418,"WAS"
20,"Treveon Graham",75000,"WAS"
21,"E.J. Singler",50000,"WAS"
