"Rank","Player","Salary","Team"
1,"John Wall",15851950,"WAS"
2,"Nene Hilario",1.3e+07,"WAS"
3,"Marcin Gortat",11217391,"WAS"
4,"Markieff Morris",8e+06,"WAS"
5,"Bradley Beal",5694674,"WAS"
6,"Martell Webster",5613500,"WAS"
7,"Otto Porter",4662960,"WAS"
8,"Jared Dudley",4250000,"WAS"
9,"Alan Anderson",4e+06,"WAS"
10,"Drew Gooden",3300000,"WAS"
11,"Ramon Sessions",2170465,"WAS"
12,"Gary Neal",2100000,"WAS"
13,"Kelly Oubre",1920240,"WAS"
14,"Garrett Temple",1100602,"WAS"
15,"Jarell Eddie",561716,"WAS"
16,"J.J. Hickson",366337,"WAS"
17,"Marcus Thornton",251107,"WAS"
18,"Ryan Hollins",176375,"WAS"
