"Rank","Player","Age","Games","Games_Started","Minutes_Played","Field_Goals","Field_Goal_Attempts","Field_Goal_Percentage","3-Point_Field_Goals","3-Point_Field_Goal_Attempts","3-Point_Field_Goal_Percentage","2-Point_Field_Goals","2-point_Field_Goal_Attempts","2-Point_Field_Goal_Percentage","Effective_Field_Goal_Percentage","Free_Throws","Free_Throw_Attempts","Free_Throw_Percentage","Offensive_Rebounds","Defensive_Rebounds","Total_Rebounds","Assists","Steals","Blocks","Turnovers","Personal Fouls","Points","Team"
1,"Anthony Davis",22,61,61,2164,560,1136,0.493,35,108,0.324,525,1028,0.511,0.508,326,430,0.758,130,497,627,116,78,125,121,148,1481,"TOR"
2,"Ryan Anderson",27,66,7,2008,397,929,0.427,131,358,0.366,266,571,0.466,0.498,199,228,0.873,131,265,396,73,38,25,90,109,1124,"TOR"
3,"Dante Cunningham",28,80,46,1971,186,412,0.451,55,174,0.316,131,238,0.55,0.518,57,82,0.695,57,179,236,77,42,33,41,173,484,"TOR"
4,"Jrue Holiday",25,65,23,1831,410,935,0.439,87,259,0.336,323,676,0.478,0.485,182,216,0.843,27,168,195,391,88,22,167,148,1089,"TOR"
5,"Alonzo Gee",28,73,38,1632,132,255,0.518,17,60,0.283,115,195,0.59,0.551,44,66,0.667,60,185,245,72,63,13,55,169,325,"TOR"
6,"Eric Gordon",27,45,44,1481,231,552,0.418,113,294,0.384,118,258,0.457,0.521,111,125,0.888,10,89,99,121,43,14,73,98,686,"TOR"
7,"Toney Douglas",29,61,18,1262,183,445,0.411,81,203,0.399,102,242,0.421,0.502,84,99,0.848,25,118,143,157,70,5,64,131,531,"TOR"
8,"Norris Cole",27,45,23,1198,196,484,0.405,33,102,0.324,163,382,0.427,0.439,52,65,0.8,10,141,151,167,37,5,75,102,477,"TOR"
9,"Omer Asik",29,68,64,1178,104,195,0.533,0,0,NA,104,195,0.533,0.533,61,112,0.545,120,294,414,26,21,23,60,124,269,"TOR"
10,"Alexis Ajinca",27,59,17,861,150,315,0.476,0,1,0,150,314,0.478,0.476,52,62,0.839,75,194,269,31,19,36,54,134,352,"TOR"
11,"Luke Babbitt",26,47,13,845,122,289,0.422,44,109,0.404,78,180,0.433,0.498,39,50,0.78,25,123,148,53,11,7,23,90,327,"TOR"
12,"Tyreke Evans",26,25,25,765,136,314,0.433,33,85,0.388,103,229,0.45,0.486,74,93,0.796,20,109,129,164,32,8,73,66,379,"TOR"
13,"Ish Smith",27,27,3,617,98,228,0.43,10,33,0.303,88,195,0.451,0.452,33,43,0.767,14,78,92,154,24,6,45,38,239,"TOR"
14,"Kendrick Perkins",31,37,5,542,40,75,0.533,0,0,NA,40,75,0.533,0.533,11,25,0.44,25,103,128,31,11,11,41,64,91,"TOR"
15,"Tim Frazier",25,16,1,469,76,169,0.45,13,31,0.419,63,138,0.457,0.488,45,59,0.763,15,56,71,120,23,1,38,42,210,"TOR"
16,"Jordan Hamilton",25,11,4,304,49,116,0.422,13,45,0.289,36,71,0.507,0.478,14,21,0.667,12,50,62,25,8,3,17,24,125,"TOR"
17,"James Ennis",25,9,5,282,50,100,0.5,24,50,0.48,26,50,0.52,0.62,19,24,0.792,17,18,35,18,12,3,17,26,143,"TOR"
18,"Bryce Dejean-Jones",23,14,11,279,28,69,0.406,12,32,0.375,16,37,0.432,0.493,11,21,0.524,8,40,48,15,10,2,11,17,79,"TOR"
19,"Orlando Johnson",26,5,1,54,4,17,0.235,1,5,0.2,3,12,0.25,0.265,1,2,0.5,1,5,6,2,1,0,3,4,10,"TOR"
20,"Nate Robinson",31,2,1,23,0,1,0,0,1,0,0,0,NA,0,0,0,NA,0,0,0,4,1,0,0,5,0,"TOR"
21,"Jimmer Fredette",26,4,0,13,1,4,0.25,0,1,0,1,3,0.333,0.25,0,0,NA,0,0,0,1,1,0,1,1,2,"TOR"
