"Rank","Player","Age","Games","Games_Started","Minutes_Played","Field_Goals","Field_Goal_Attempts","Field_Goal_Percentage","3-Point_Field_Goals","3-Point_Field_Goal_Attempts","3-Point_Field_Goal_Percentage","2-Point_Field_Goals","2-point_Field_Goal_Attempts","2-Point_Field_Goal_Percentage","Effective_Field_Goal_Percentage","Free_Throws","Free_Throw_Attempts","Free_Throw_Percentage","Offensive_Rebounds","Defensive_Rebounds","Total_Rebounds","Assists","Steals","Blocks","Turnovers","Personal Fouls","Points","Team"
1,"Kawhi Leonard",24,72,72,2380,551,1090,0.506,129,291,0.443,422,799,0.528,0.565,292,334,0.874,95,398,493,186,128,71,105,133,1523,"TOR"
2,"LaMarcus Aldridge",30,74,74,2261,536,1045,0.513,0,16,0,536,1029,0.521,0.513,259,302,0.858,176,456,632,110,38,81,99,151,1331,"TOR"
3,"Danny Green",28,79,79,2062,211,561,0.376,116,349,0.332,95,212,0.448,0.48,34,46,0.739,48,255,303,141,79,64,75,141,572,"TOR"
4,"Tony Parker",33,72,72,1980,350,710,0.493,27,65,0.415,323,645,0.501,0.512,130,171,0.76,17,159,176,379,54,11,131,114,857,"TOR"
5,"Patrick Mills",27,81,3,1662,260,612,0.425,123,320,0.384,137,292,0.469,0.525,47,58,0.81,27,131,158,226,59,6,76,102,690,"TOR"
6,"Tim Duncan",39,61,60,1536,215,441,0.488,0,2,0,215,439,0.49,0.488,92,131,0.702,115,332,447,163,47,78,90,125,522,"TOR"
7,"David West",35,78,19,1404,244,448,0.545,3,7,0.429,241,441,0.546,0.548,63,80,0.788,72,237,309,143,44,55,68,142,554,"TOR"
8,"Boris Diaw",33,76,4,1386,202,383,0.527,25,69,0.362,177,314,0.564,0.56,56,76,0.737,58,175,233,176,26,21,97,102,485,"TOR"
9,"Kyle Anderson",22,78,11,1245,138,295,0.468,12,37,0.324,126,258,0.488,0.488,62,83,0.747,25,219,244,123,60,29,59,97,350,"TOR"
10,"Manu Ginobili",38,58,0,1134,197,435,0.453,70,179,0.391,127,256,0.496,0.533,91,112,0.813,26,120,146,177,66,11,99,99,555,"TOR"
11,"Jonathon Simmons",26,55,2,813,122,242,0.504,18,47,0.383,104,195,0.533,0.541,69,92,0.75,16,80,96,58,24,5,53,103,331,"TOR"
12,"Boban Marjanovic",27,54,4,508,105,174,0.603,0,0,NA,105,174,0.603,0.603,87,114,0.763,73,121,194,21,12,23,29,54,297,"TOR"
13,"Rasual Butler",36,46,0,432,49,104,0.471,15,49,0.306,34,55,0.618,0.543,11,16,0.688,3,53,56,24,13,23,8,11,124,"TOR"
14,"Kevin Martin",32,16,1,261,30,85,0.353,11,33,0.333,19,52,0.365,0.418,28,30,0.933,4,25,29,12,9,2,13,15,99,"TOR"
15,"Ray McCallum",24,31,3,256,27,67,0.403,5,16,0.313,22,51,0.431,0.44,9,10,0.9,6,25,31,33,5,4,11,14,68,"TOR"
16,"Matt Bonner",35,30,2,206,29,57,0.509,15,34,0.441,14,23,0.609,0.64,3,4,0.75,3,24,27,9,6,1,3,16,76,"TOR"
17,"Andre Miller",39,13,4,181,23,48,0.479,1,4,0.25,22,44,0.5,0.49,9,13,0.692,6,21,27,29,7,0,12,14,56,"TOR"
