"","Player","Points","Total_Rebounds","Assists","Steals","Blocks","Missed_Field_Goals","Missed_Free_Throws","Turnovers","Games","EFF","Salary"
"1","Al Horford",1249,596,263,68,121,-519,-26,-107,82,-6.86899548288269,1.2e+07
"2","Mike Muscala",195,117,34,13,27,-76,-8,-27,60,-1.69011641747551,947276
"3","Tiago Splitter",201,120,30,20,12,-74,-9,-24,36,-2.74051760579429,8500000
"4","Walter Tavares",25,21,3,1,6,-8,-5,-5,11,-1.43993787417501,1e+06
"5","Kelly Olynyk",687,281,105,52,33,-303,-32,-74,69,-4.43482223822313,2165160
"6","Tyler Zeller",364,178,29,10,22,-152,-20,-46,60,-2.3950320588885,2616975
"7","Andrea Bargnani",304,97,18,4,9,-152,-10,-26,46,-2.10918682793536,1362900
"8","Brook Lopez",1501,573,147,58,124,-566,-86,-175,73,-8.20207171219525,2e+07
"9","Henry Sims",91,72,9,9,14,-44,-5,-12,14,-3.73858943447191,161622
"10","Cameron Bairstow",34,28,6,2,3,-27,-1,-4,18,-1.07839425235854,845059
"11","Cristiano Felicio",105,102,26,6,13,-32,-10,-13,31,-1.93178927792345,525090
"12","Joakim Noah",124,255,110,18,29,-82,-23,-52,29,-5.77728277692883,13400000
"13","Pau Gasol",1187,793,294,42,146,-528,-60,-164,72,-8.70292456171574,7448760
"14","Al Jefferson",562,301,70,30,41,-260,-39,-34,47,-5.07772521727432,13833333
"15","Cody Zeller",638,455,71,57,63,-206,-57,-68,73,-4.37706370404469,4204200
"16","Frank Kaminsky",606,335,98,38,43,-310,-40,-58,81,-3.56887694019486,2612500
"17","Anderson Varejao",80,91,20,11,5,-44,-5,-16,31,-1.85923116134038,NA
"18","Channing Frye",196,93,26,8,8,-90,-3,-13,26,-2.82228724187357,7807579
"19","Sasha Kaun",23,26,3,4,5,-8,-6,-7,25,-0.816525834606334,1300000
"20","Timofey Mozgov",475,337,33,22,57,-156,-27,-71,76,-2.91269920561694,4950000
"21","JaVale McGee",172,133,3,5,26,-57,-18,-21,34,-2.29903564694051,1270964
"22","Salah Mejri",125,123,10,8,36,-29,-19,-23,34,-2.36670904924292,525093
"23","Zaza Pachulia",650,718,128,64,22,-251,-64,-119,76,-5.26591748753857,5200000
"24","J.J. Hickson",137,87,16,10,12,-54,-32,-16,20,-3.7029711844394,5613500
"25","Joffrey Lauvergne",465,290,56,13,15,-185,-7,-54,59,-3.06284101139978,1709720
"26","Jusuf Nurkic",263,175,40,24,44,-141,-38,-55,32,-5.45970906656562,1842000
"27","Nikola Jokic",796,560,189,79,50,-293,-36,-104,80,-5.41229542491898,1300000
"28","Andre Drummond",1314,1198,67,119,112,-508,-378,-155,81,-9.5085223263339,3272091
"29","Aron Baynes",514,384,51,21,52,-190,-39,-67,81,-2.97747631858284,6500000
"30","Joel Anthony",18,21,1,2,12,-4,-2,-2,19,-0.79522802099609,2500000
"31","Anderson Varejao",58,50,15,5,5,-27,-13,-6,22,-1.67287420062922,458575
"32","Andrew Bogut",375,492,162,33,114,-104,-26,-83,70,-4.52845419979334,1.2e+07
