"Player","Number","Position","Height","Weight","Birth Date","Country","Experience","College","Rank.x","Age","Games","Games Started","Minutes Played","Field Goals","Field Goal Attempts","Field Goal Percentage","3-Point Field Goals","3-Point Field Goal Attempts","3-Point Field Goal Percentage","2-Point Field Goals","2-point Field Goal Attempts","2-Point Field Goal Percentage","Effective Field Goal Percentage","Free Throws","Free Throw Attempts","Free Throw Percentage","Offensive Rebounds","Defensive Rebounds","Total Rebounds","Assists","Steals","Blocks","Turnovers","Personal Fouls","Points","Rank.y","Salary"
"Al Horford",15,"C",1.86,111.13,1986-06-03,"DO",8,"University of Florida",2,29,82,82,2631,529,1048,0.505,88,256,0.344,441,792,0.557,0.547,103,129,0.798,148,448,596,263,68,121,107,163,1249,2,1.2e+07
"Dennis Schroder",17,"PG",1.86,78.02,1993-09-15,"DE",2,NA,7,22,80,6,1621,329,781,0.421,77,239,0.322,252,542,0.465,0.471,144,182,0.791,25,179,204,349,70,9,183,138,879,10,1763400
"Jeff Teague",0,"PG",1.89,84.37,1988-06-10,"US",6,"Wake Forest University",4,27,79,78,2255,434,988,0.439,110,275,0.4,324,713,0.454,0.495,261,312,0.837,33,181,214,470,97,24,218,167,1239,4,8e+06
"Justin Holiday",7,"SG",2.01,83.91,1989-04-05,"US",2,"University of Washington",14,26,26,1,263,24,73,0.329,10,45,0.222,14,28,0.5,0.397,5,10,0.5,4,23,27,11,13,4,13,21,63,NA,NA
"Kent Bazemore",24,"SF",1.98,91.17,1989-07-01,"US",3,"Old Dominion University",5,26,75,68,2083,320,725,0.441,109,305,0.357,211,420,0.502,0.517,123,151,0.815,28,351,379,171,98,38,138,176,872,9,2e+06
"Kirk Hinrich",12,"PG",1.95,86.18,1981-01-02,"US",12,"University of Kansas",16,35,11,0,76,2,11,0.182,1,6,0.167,1,5,0.2,0.227,0,0,NA,1,11,12,14,2,1,3,1,5,8,2870000
"Kris Humphries",43,"PF",2.1,106.59,1985-02-06,"US",11,"University of Minnesota",13,30,21,0,295,47,101,0.465,8,31,0.258,39,70,0.557,0.505,32,45,0.711,20,51,71,13,10,7,14,44,134,15,388025
"Kyle Korver",26,"SG",2.04,96.16,1981-03-17,"US",12,"Creighton University",3,34,80,80,2401,268,616,0.435,158,397,0.398,110,219,0.502,0.563,45,54,0.833,14,246,260,164,60,35,98,161,739,5,5746479
"Lamar Patterson",13,"SG",1.98,102.06,1991-08-12,"US",0,"University of Pittsburgh",12,24,35,0,395,28,80,0.35,12,49,0.245,16,31,0.516,0.425,16,22,0.727,4,46,50,39,9,2,23,45,84,14,525093
"Mike Muscala",31,"C",1.86,108.86,1991-07-01,"US",2,"Bucknell University",11,24,60,0,565,76,152,0.5,12,39,0.308,64,113,0.566,0.539,31,39,0.795,38,79,117,34,13,27,27,72,195,13,947276
"Mike Scott",32,"PF",2.07,107.5,1988-07-16,"US",3,"University of Virginia",8,27,75,0,1146,176,376,0.468,62,158,0.392,114,218,0.523,0.551,50,63,0.794,53,153,206,78,25,17,42,102,464,7,3333333
"Paul Millsap",4,"PF",2.07,111.58,1985-02-10,"US",9,"Louisiana Tech University",1,30,81,81,2647,501,1066,0.47,74,232,0.319,427,834,0.512,0.505,309,408,0.757,198,534,732,265,147,139,191,237,1385,1,1.9e+07
"Shelvin Mack",8,"PG",1.92,92.08,1990-04-22,"US",4,"Butler University",15,25,24,0,179,40,95,0.421,4,27,0.148,36,68,0.529,0.442,9,12,0.75,2,20,22,38,8,0,14,7,93,NA,NA
"Terran Petteway",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,75000
"Thabo Sefolosha",25,"SF",2.04,99.79,1984-05-02,"CH",9,NA,6,31,75,11,1758,188,372,0.505,42,124,0.339,146,248,0.589,0.562,62,99,0.626,52,282,334,107,85,37,68,109,480,6,4e+06
"Tiago Splitter",11,"C",1.86,111.13,1985-01-01,"BR",5,NA,10,31,36,2,579,81,155,0.523,0,2,0,81,153,0.529,0.523,39,48,0.813,45,75,120,30,20,12,24,71,201,3,8500000
"Tim Hardaway",10,"SG",2.01,92.99,1992-03-16,"US",2,"University of Michigan",9,23,51,1,864,114,265,0.43,48,142,0.338,66,123,0.537,0.521,50,56,0.893,7,79,86,51,21,7,23,48,326,11,1304520
